step,ns_q,ew_q,throughput,avg_wait
1,0,0,0.0,0.0
2,0,0,0.0,0.0
3,0,0,0.0,0.0
4,0,0,0.0,0.0
5,0,0,0.0,0.0
6,0,0,0.0,0.0
7,0,0,0.0,0.0
8,0,0,0.0,0.0
9,0,0,0.0,0.0
10,0,0,0.0,0.0
11,0,0,0.0,0.0
12,0,0,0.0,0.0
13,0,0,0.0,0.0
14,0,0,0.0,0.0
15,0,0,0.0,0.0
16,0,0,0.0,0.0
17,0,0,0.0,0.0
18,0,0,0.0,0.0
19,0,0,0.0,0.0
20,0,0,0.0,0.0
21,0,0,0.0,0.0
22,0,0,0.0,0.0
23,0,0,0.0,0.0
24,0,0,0.0,0.0
25,0,0,0.0,0.0
26,0,0,0.0,0.0
27,0,0,0.0,0.0
28,0,0,0.0,0.0
29,0,0,0.0,0.0
30,0,0,0.0,0.0
31,0,0,0.0,7.33
32,0,0,0.0,7.33
33,0,0,0.0,7.33
34,0,0,0.0,7.33
35,0,0,0.0,7.33
36,0,0,0.0,7.33
37,0,0,0.0,7.33
38,0,0,0.0,7.33
39,0,0,0.0,7.33
40,0,0,0.0,7.33
41,0,0,0.0,7.33
42,0,0,0.0,7.33
43,0,0,0.0,7.33
44,0,0,0.0,7.33
45,0,0,0.0,7.33
46,0,0,0.0,7.33
47,0,0,0.0,7.33
48,0,0,0.0,7.33
49,0,0,0.0,7.33
50,0,0,0.0,7.33
51,0,0,0.0,7.33
52,0,0,0.0,7.33
53,0,0,0.0,7.33
54,0,0,0.0,7.33
55,0,0,0.0,7.33
56,0,0,0.0,7.33
57,0,0,0.0,7.33
58,0,0,0.0,7.33
59,0,0,0.0,7.33
60,0,0,0.0,7.33
61,0,0,0.0,7.33
62,0,0,0.0,7.33
63,0,0,0.0,7.33
64,0,0,0.0,7.33
65,0,0,0.0,7.33
66,0,0,0.0,7.33
67,0,0,0.0,7.33
68,0,0,0.0,7.33
69,0,0,0.0,7.33
70,0,0,0.0,7.33
71,0,0,0.0,7.33
72,0,0,0.0,7.33
73,0,0,0.0,7.33
74,0,0,0.0,7.33
75,0,0,0.0,7.33
76,0,0,0.0,7.33
77,0,0,0.0,7.33
78,0,0,0.0,7.33
79,0,0,0.0,7.33
80,0,0,0.0,7.33
81,0,0,0.0,7.33
82,0,0,0.0,7.33
83,0,0,0.0,7.33
84,0,0,0.0,7.33
85,0,0,0.0,7.33
86,0,0,0.0,7.33
87,0,0,0.0,7.33
88,0,0,0.0,7.33
89,0,0,0.0,7.33
90,0,0,0.0,7.33
91,0,0,0.0,7.33
92,0,0,0.0,7.33
93,0,0,0.0,7.33
94,0,0,0.0,7.33
95,0,0,0.0,7.33
96,0,0,0.0,7.33
97,0,0,0.0,7.33
98,0,0,0.0,7.33
99,0,0,0.0,7.33
100,0,0,0.0,7.33
101,0,0,0.0,7.33
102,0,0,0.0,7.33
103,0,0,0.0,7.33
104,0,0,0.0,7.33
105,0,0,0.0,7.33
106,0,0,0.0,7.33
107,0,0,0.0,7.33
108,0,0,0.0,7.33
109,0,0,0.0,7.33
110,0,0,0.0,7.33
111,0,0,0.0,7.33
112,0,0,0.0,7.33
113,0,0,0.0,7.33
114,0,0,0.0,7.33
115,0,0,0.0,7.33
116,0,0,0.0,7.33
117,0,0,0.0,7.33
118,0,0,0.0,7.33
119,0,0,0.0,7.33
120,0,0,0.0,7.33
121,0,0,0.0,7.33
122,0,0,0.0,7.33
123,0,0,0.0,7.33
124,0,0,0.0,7.33
125,0,0,0.0,7.33
126,0,0,0.0,7.33
127,0,0,0.0,7.33
128,0,0,0.0,7.33
129,0,0,0.0,7.33
130,0,0,0.0,7.33
131,0,0,0.0,7.33
132,0,0,0.0,7.33
133,0,0,0.0,7.33
134,0,0,0.0,7.33
135,0,0,0.0,7.33
136,0,0,0.0,7.33
137,0,0,0.0,7.33
138,0,0,0.0,7.33
139,0,0,0.0,7.33
